key_name,Streams,Z_Streams,Outlier_Streams
A,,-1.8028285486671203,Normal
A,2646318,-0.3519731962804481,Normal
A,3565894,-0.3489873611876762,Normal
A,3650519,-0.6974251728118018,Normal
A,4168243,-0.3470315524428894,Normal
A,4769896,-0.6901560071775493,Normal
A,7015418,-0.6755737249318376,Normal
A,8601658,-0.6652727795884219,Normal
A,13250799,-0.6350815428683586,Normal
A,14681630,-0.31289490702316175,Normal
A,15700871,-0.3095854627294961,Normal
A,19043699,-1.1949256106007062,Normal
A,33769038,-0.2509186781563205,Normal
A,56271938,-0.3557049028577098,Normal
A,58141761,-0.17178119344618464,Normal
A,206406598,0.3096301889068782,Normal
A#,,-1.0816971292002722,Normal
A#,6679738,-0.33887680513943536,Normal
A#,7087665,-1.3502091146833421,Normal
A#,11155943,-0.3243427046720016,Normal
A#,13798240,-0.31576324728280725,Normal
A#,20371366,-0.2944205085858304,Normal
A#,40785148,-0.22813758398602074,Normal
A#,47617157,-0.41190852024236346,Normal
A#,2149504403,13.23761843599922,Outlier
B,,-1.8028285486671203,Normal
B,2092543,-0.35377128673572283,Normal
B,2123472,-0.3536708612205024,Normal
B,2259267,-0.35322993901676614,Normal
B,2294424,-0.3531157853151074,Normal
B,2519458,-0.35238510681298596,Normal
B,2555227,-0.3522689659660811,Normal
B,3119344,-0.3504372953537237,Normal
B,4040681,-0.3474457423479154,Normal
B,7651648,-0.3357210431523719,Normal
B,34924789,-0.4943319801516578,Normal
B,36749394,-0.482483107107022,Normal
B,40296596,-0.918895589435883,Normal
B,77689249,-0.2166221978358109,Normal
B,150722163,0.12882453484003242,Normal
C,,-1.8028285486671203,Normal
C,2377722,-0.35284531926166784,Normal
C,2674540,-0.3518815603112751,Normal
C,4651098,-0.3454637370543622,Normal
C,5406708,-1.3720411781562494,Normal
C,6615822,-0.33908433843281144,Normal
C,6713842,-0.33876607049650875,Normal
C,7706093,-0.33554426190576914,Normal
C,9743884,-0.32892761697426304,Normal
C,12193907,-0.3209724673710783,Normal
C,19532202,-0.29714524837872497,Normal
C,25594599,-0.5549216621882249,Normal
C,46298834,-0.21023481450386275,Normal
C,60990544,-0.16253128234248915,Normal
C,77773058,-0.21607794732624971,Normal
C,481994013,2.4089081607773895,Normal
C#,,-2.523959968133968,Normal
C#,1436087,-0.3559027792514699,Normal
C#,2787278,-0.7030310069599732,Normal
C#,4650257,-0.3454664677555908,Normal
C#,4949122,-0.6889921245178515,Normal
C#,5143253,-0.6877314497016429,Normal
C#,5892556,-0.6828655219425034,Normal
C#,7272423,-0.3369523751065077,Normal
C#,7376240,-0.33661528448884664,Normal
C#,7742923,-0.3354246760243773,Normal
C#,10191134,-1.3099016397186647,Normal
C#,11134959,-0.6488216781539476,Normal
C#,11992190,-0.6432548725774386,Normal
C#,36015784,-0.24362356274297262,Normal
